INFO 2024-01-06 04:43:03,913 autoreload 13972 15116 Watching for file changes with StatReloader
WARNING 2024-01-06 04:56:13,766 basehttp 13376 13104 "GET /web/images/p7.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,766 basehttp 13376 1648 "GET /web/images/p8.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,769 log 13376 13976 Not Found: /web/images/flogo.png
WARNING 2024-01-06 04:56:13,769 basehttp 13376 13976 "GET /web/images/flogo.png HTTP/1.1" 404 2512
INFO 2024-01-06 04:59:33,200 basehttp 13376 13976 "GET / HTTP/1.1" 200 14709
WARNING 2024-01-06 04:59:33,236 log 13376 9296 Not Found: /web/js/move-top.js
WARNING 2024-01-06 04:59:33,238 log 13376 13976 Not Found: /web/css/bootstrap.css
WARNING 2024-01-06 04:59:33,239 basehttp 13376 9296 "GET /web/js/move-top.js HTTP/1.1" 404 2506
WARNING 2024-01-06 04:59:33,240 log 13376 14072 Not Found: /web/js/easing.js
WARNING 2024-01-06 04:59:33,242 log 13376 1648 Not Found: /web/js/jquery.min.js
WARNING 2024-01-06 04:59:33,243 log 13376 13104 Not Found: /web/css/style.css
WARNING 2024-01-06 04:59:33,244 basehttp 13376 13976 "GET /web/css/bootstrap.css HTTP/1.1" 404 2515
WARNING 2024-01-06 04:59:33,245 basehttp 13376 1648 "GET /web/js/jquery.min.js HTTP/1.1" 404 2512
WARNING 2024-01-06 04:59:33,245 basehttp 13376 14072 "GET /web/js/easing.js HTTP/1.1" 404 2500
WARNING 2024-01-06 04:59:33,246 basehttp 13376 13104 "GET /web/css/style.css HTTP/1.1" 404 2503
WARNING 2024-01-06 04:59:33,259 log 13376 1648 Not Found: /web/images/logo.png
WARNING 2024-01-06 04:59:33,260 basehttp 13376 1648 "GET /web/images/logo.png HTTP/1.1" 404 2509
WARNING 2024-01-06 04:59:33,261 log 13376 14072 Not Found: /web/images/nav-icon.png
WARNING 2024-01-06 04:59:33,262 basehttp 13376 14072 "GET /web/images/nav-icon.png HTTP/1.1" 404 2521
WARNING 2024-01-06 04:59:33,295 log 13376 13104 Not Found: /web/images/slide2.png
WARNING 2024-01-06 04:59:33,296 log 13376 1648 Not Found: /web/images/slide1.png
WARNING 2024-01-06 04:59:33,298 log 13376 13976 Not Found: /web/images/img-w.jpg
WARNING 2024-01-06 04:59:33,299 log 13376 14072 Not Found: /web/js/responsiveslides.min.js
WARNING 2024-01-06 04:59:33,300 log 13376 10364 Not Found: /web/images/list-icon.png
WARNING 2024-01-06 04:59:33,300 log 13376 9296 Not Found: /web/images/obj1.png
WARNING 2024-01-06 04:59:33,301 basehttp 13376 13104 "GET /web/images/slide2.png HTTP/1.1" 404 2515
WARNING 2024-01-06 04:59:33,301 basehttp 13376 1648 "GET /web/images/slide1.png HTTP/1.1" 404 2515
WARNING 2024-01-06 04:59:33,302 basehttp 13376 13976 "GET /web/images/img-w.jpg HTTP/1.1" 404 2512
WARNING 2024-01-06 04:59:33,303 basehttp 13376 10364 "GET /web/images/list-icon.png HTTP/1.1" 404 2524
WARNING 2024-01-06 04:59:33,303 basehttp 13376 14072 "GET /web/js/responsiveslides.min.js HTTP/1.1" 404 2542
WARNING 2024-01-06 04:59:33,304 basehttp 13376 9296 "GET /web/images/obj1.png HTTP/1.1" 404 2509
WARNING 2024-01-06 04:59:33,328 log 13376 9296 Not Found: /web/images/kid-r-img.jpg
WARNING 2024-01-06 04:59:33,329 log 13376 10364 Not Found: /web/images/b1.jpg
WARNING 2024-01-06 04:59:33,330 log 13376 13104 Not Found: /web/images/man-r-img.jpg
